"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2"
"f3","zah",3,"a","breathy","L",173,-2.8455,-3.058,9.449,-12.509,-14.2115,-4.215,0.2125,-12.507,9.6635,11.366,1.369,23.564,25.136,15.8035,-1.39254497678533,23.9395,28.844,33.34,35.881,0,0.0545,188.2005,270.1185,1910.148
"f3","zahg",1,"a","breathy","L",161,6.723,-1.4995,-13.017,-28.281,-27.12,-24.5495,8.223,11.5175,35.0045,33.843,31.273,12.715,8.071,18.499,-0.931814138253838,33.1725,34.371,36.603,37.973,0,0.095,192.3845,914.419,1762.8195
"f3","zahg",2,"a","breathy","L",155,-7.1845,-3.807,4.647,-8.526,-12.094,-5.34,-3.377,-8.4545,1.3415,4.9095,-1.845,14.8765,26.726,14.302,-1.4145392704915,28.868,32.9345,34.1775,36.323,0,0.076,234.354,253.957,1881.494
"f3","zahg",3,"a","breathy","L",158,-0.5325,-1.449,5.2635,-16.2985,-11.4355,-5.6155,0.916,-6.713,15.7655,10.902,5.083,14.0335,26.8235,17.079,-1.07572071393812,32.5425,34.068,36.461,37.8835,0,0.06,206.1615,315.6805,1782.8285
"f5","bgah",2,"a","breathy","L",218,-0.4825,-7.515,0.612,-12.1585,-14.109,6.6845,7.0325,-8.127,11.6755,13.6265,-7.167,1.319,38.978,18.241,-1.39254497678533,32.809,34.1815,39.164,40.9785,0.3945,0.045,140.793,242.0115,1454.4075
"f5","biah",1,"a","breathy","L",164,3.2775,-0.7725,-12.104,-34.5465,-34.6755,-8.701,4.0505,11.3305,37.824,37.953,11.9795,12.767,13.1355,18.2475,-1.24795155218056,22.012,25.274,31.2675,36.6925,0,0.043,145.988,948.538,1642.668
"f5","biah",2,"a","breathy","L",210,1.6415,-5.4905,-13.95,-38.5495,-36.7455,-36.106,7.132,8.459,40.191,38.387,37.7475,18.386,6.9715,18.0175,-1.48148606012211,27.2445,31.055,36.1705,40.372,0.1015,0.0495,154.329,852.128,1736.428
"f5","biah",3,"a","breathy","L",149,0.6155,1.101,-14.102,-38.7655,-38.812,-15.199,-0.4855,15.203,39.381,39.4275,15.815,16.052,6.2945,20.9715,-1.46852108295774,41.7785,47.5505,48.2245,49.9775,0.7675,0.025,145.6925,827.7695,1757.055
"f5","da7abep",1,"a","laryngealized","L",101,4.615,6.3075,-5.7355,-28.869,-28.292,-15.381,-1.6925,12.043,33.484,32.907,19.996,19.4515,9.251,22.942,-0.822463500070138,41.1255,41.5845,41.9035,42.9805,0.6875,0.0595,159.0265,1005.7855,1780.7155
"f5","da7abep",2,"a","laryngealized","L",88,2.9685,-6.445,9.6245,-8.567,-7.4915,1.2745,9.4135,-16.0695,11.536,10.46,1.694,15.2775,28.9335,20.779,-0.968591535748376,31.018,33.592,35.3855,38.065,0.687,0.065,147.8375,270.2355,1755.9185
"f5","da7abep",3,"a","laryngealized","L",67,2.184,2.6315,8.13,-10.896,-8.6015,15.105,-0.4475,-5.4985,13.08,10.7855,-12.921,-14.0775,58.928,20.518,-0.987162775294828,36.501,41.4005,42.622,42.12,0,0.073,150.899,204.73,876.5615
"f5","dam",1,"a","modal","H",120,4.864,-3.556,8.1905,-5.778,-5.9895,10.0905,8.42,-11.7465,10.642,10.854,-5.227,2.777,39.6745,24.2205,-0.790484985457369,36.6575,38.572,40.8285,41.187,0.9275,0.069,148.0335,272.8095,1567.34
"f5","dam",2,"a","modal","H",128,6.514,0.2295,8.935,-5.5185,-11.744,13.109,6.2845,-8.705,12.0325,18.258,-6.5955,-2.043,45.3185,21.4865,-0.704432900037521,35.755,38.9885,42.407,43.583,0.834,0.066,148.4855,274.3405,1230.071
"f5","dam",3,"a","modal","H",120,2.7315,-5.9785,7.763,-7.5615,-9.0115,0.4415,8.7105,-13.7415,10.293,11.743,2.29,12.2245,30.3385,20.4865,-1.02227639471115,40.588,43.0725,46.048,46.555,0.5805,0.043,141.253,306.708,1546.4295
"f5","duah",1,"a","breathy","H",145,1.02,-9.481,-1.38,-11.893,-5.934,-7.2905,10.502,-8.101,12.913,6.9545,8.311,-13.331,45.246,24.19,-0.920818753952375,44.8825,43.3655,47.795,49.329,0.3785,0.0495,159.9675,348.913,1060.6895
"f5","duah",2,"a","breathy","H",139,2.552,4.177,-5.9405,-35.337,-38.456,-25.631,-1.6255,10.118,37.889,41.008,28.1825,18.2,13.8925,23.8435,-0.976747540366289,46.55,47.049,52.05,52.6525,0.59,0.023,148.18,974.8615,1464.781
"f5","duah",3,"a","breathy","H",118,3.555,1.2255,-8.3925,-37.3455,-35.9,-14.0845,2.33,9.618,40.9005,39.455,17.6395,14.808,14.7985,21.6295,-1.23284413391782,44.533,44.1945,47.351,49.0775,0.5485,0.0525,150.315,941.266,1414.7995
"f5","gwanhax",1,"a","modal","L",47,1.257,-2.118,4.168,-18.799,-16.187,-0.533,3.374,-6.286,20.055,17.444,1.789,9.57,29.322,0,-0.844663962534938,0,0,0,0,0.7735,0.0255,167.997,409.689,1571.4535
"f5","gwanhax",2,"a","modal","F",156,0.2365,-1.5995,-0.917,-11.498,-9.214,-11.902,1.8355,-0.682,11.7345,9.45,12.138,-9.364,41.0225,20.3555,-0.583359492661719,28.1085,30.4405,33.3455,35.965,0.7335,0.0295,159.9165,375.9305,1325.9995
"f5","gwanhax",4,"a","modal","F",130,0.9715,-6.14,-1.6675,-6.886,-8.488,3.631,7.111,-4.472,7.8575,9.4595,-2.66,1.5285,34,21.01,-0.87942606879415,39.2745,41.4195,43.2095,45.829,0.6855,0.0315,154.713,327.5825,1615.5125
"f5","gwanhax",5,"a","modal","L",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18708664335714,0,0,0,0,0,0.073,152.7775,1101.3965,1916.6805
"f5","gwanhax",6,"a","modal","F",173,1.1315,-9.501,1,-9.942,-8.7045,-5.224,10.6325,-10.501,11.074,9.836,6.3555,1.631,24.8055,18.3035,-1.09963287134353,29.4085,32.3795,32.9285,34.174,0.779,0.062,147.3245,291.5795,1527.2665
"f5","kampanh",1,"a","modal","R",62,0.896,-5.9375,-1.452,-6.482,-7.6035,10.527,6.833,-4.4845,7.3775,8.4995,-9.631,-6.947,38.665,20.878,-0.783834097714007,40.25,42.0805,44.9265,45.758,0.578,0.035,160.877,316.475,1138.528
"f5","kampanh",2,"a","modal","L",113,1.446,-0.891,-2.219,-16.265,-10.152,-6.43,2.337,1.328,17.7105,11.598,7.8755,-15.231,40.1515,21.556,-0.528708288941061,32.0185,29.2525,34.3295,37.0615,0.712,0.031,164.2535,392.7625,1164.0375
"f5","kampanh",3,"a","modal","R",44,2.712,-2.891,-0.046,-8.666,-10.171,10.893,5.602,-2.844,11.378,12.883,-8.181,-4.449,40.319,0,-1.01772876696043,0,0,0,0,0.9265,0.0825,160.774,279.434,1255.7035
"f5","kampanh",4,"a","modal","L",99,0.7915,1.342,-9.8575,-22.382,-15.6455,4.152,-0.5505,11.1995,23.1735,16.437,-3.3605,-11.011,37.217,22.849,-0.861697301833719,39.5765,38.816,44.814,45.535,0.9175,0.0475,161.8185,447.6535,1238.7745
"f5","kampanh",5,"a","modal","R",58,2.015,-9.474,1.3695,-10.721,-13.6605,11.5485,11.488,-10.843,12.736,15.675,-9.5335,-0.072,35.6845,17.527,-1.12784372725171,30.9985,33.8125,39.5,41.8685,0.7105,0.063,154.994,300.325,1287.6855
"f5","kandadw",1,"a","modal","M",53,3.063,3.2995,-0.451,-24.3935,-16.0405,-5.0755,-0.236,3.75,27.4565,19.1035,8.1385,17.51,8.2335,23.578,-0.779891911959945,34.679,41.784,42.543,44.568,0.6075,0.041,164.4105,510.922,1927.0835
"f5","kandadw",2,"a","modal","H",129,2.38,2.636,1.7985,-20.9795,-6.353,2.9205,-0.2565,0.8375,23.359,8.7325,-0.541,4.062,26.061,23.6535,-0.557520230935551,40.6145,40.441,41.1365,41.589,0.6225,0.0355,167.829,514.377,1662.22
"f5","kandadw",3,"a","modal","M",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.997833938243492,0,0,0,0,0.831,0.0705,153.2,616.864,1868.8745
"f5","kandadw",4,"a","modal","H",133,-1.611,-0.4715,0.4455,-22.768,-11.1855,-4.7265,-1.1395,-0.917,21.1565,9.574,3.1155,7.2745,28.3855,22.863,-0.945004138470859,43.215,42.562,43.615,44.0755,0.7485,0.016,160.53,490.8555,1670.437
"f5","kandadw",5,"a","modal","M",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.95272513261582,0,0,0,0,0.912,0.0525,155.871,279.1855,1880.6105
"f5","kandadw",6,"a","modal","H",125,-1.029,-3.3295,2.835,-22.3645,-12.0105,-2.741,2.3005,-6.1645,21.3355,10.9815,1.7125,11.7965,22.2085,22.488,-0.989276134608227,40.546,39.415,41.794,42.3785,0.7495,0.0325,156.3725,411.8405,1605.419
"f5","shchag",1,"a","modal","F",117,6.12,0.3865,-6.8295,-19.3405,-13.04,-1.456,5.734,7.216,25.461,19.1605,7.576,-0.5805,22.529,23.385,-0.585026652029182,40.831,41.1215,41.722,40.6175,0.2145,0.0595,182.192,611.843,1580.5965
"f5","shchag",2,"a","modal","F",152,2.7635,0.4555,-4.2155,-21.369,-11.0945,0.8285,2.308,4.6715,24.1325,13.8575,1.935,-5.762,30.6295,23.2605,-0.773400094792643,33.7845,35.0535,36.7965,37.841,0.425,0.046,170.902,541.5955,1615.4335
"f5","shchag",3,"a","modal","F",135,1.978,3.9355,-7.2085,-32.947,-29.1505,-26.0995,-1.9575,11.144,34.925,31.1285,28.078,20.415,1.634,20.391,-1.03151705144606,33.4905,33.5765,35.7695,35.621,0.629,0.025,161.753,1022.34,1918.536
